r**2,t * 1e9
1.27593e-13,0.7
1.27793e-13,0.701
1.27992e-13,0.702
1.28191e-13,0.703
1.28389e-13,0.704
1.28586e-13,0.705
1.28782e-13,0.706
1.28977e-13,0.707
1.29172e-13,0.708
1.29369e-13,0.709
1.29567e-13,0.71
1.29766e-13,0.711
1.29965e-13,0.712
1.30164e-13,0.713
1.30364e-13,0.714
1.30566e-13,0.715
1.30767e-13,0.716
1.30969e-13,0.717
1.31171e-13,0.718
1.31371e-13,0.719
1.31571e-13,0.72
1.31771e-13,0.721
1.31972e-13,0.722
1.3217e-13,0.723
1.32368e-13,0.724
1.32565e-13,0.725
1.32763e-13,0.726
1.32963e-13,0.727
1.33162e-13,0.728
1.33361e-13,0.729
1.33561e-13,0.73
1.33759e-13,0.731
1.33956e-13,0.732
1.34152e-13,0.733
1.34348e-13,0.734
1.34544e-13,0.735
1.3474e-13,0.736
1.34937e-13,0.737
1.35135e-13,0.738
1.35331e-13,0.739
1.35527e-13,0.74
1.35721e-13,0.741
1.35916e-13,0.742
1.36112e-13,0.743
1.36307e-13,0.744
1.36503e-13,0.745
1.367e-13,0.746
1.36898e-13,0.747
1.37098e-13,0.748
1.37298e-13,0.749
1.37498e-13,0.75
1.37696e-13,0.751
1.37892e-13,0.752
1.38089e-13,0.753
1.38286e-13,0.754
1.38484e-13,0.755
1.38682e-13,0.756
1.3888e-13,0.757
1.3908e-13,0.758
1.3928e-13,0.759
1.39481e-13,0.76
1.39681e-13,0.761
1.3988e-13,0.762
1.40075e-13,0.763
1.4027e-13,0.764
1.40466e-13,0.765
1.40659e-13,0.766
1.40853e-13,0.767
1.41048e-13,0.768
1.41242e-13,0.769
1.4144e-13,0.77
1.41638e-13,0.771
1.41835e-13,0.772
1.42032e-13,0.773
1.42228e-13,0.774
1.42424e-13,0.775
1.4262e-13,0.776
1.42815e-13,0.777
1.43011e-13,0.778
1.43208e-13,0.779
1.43408e-13,0.78
1.43608e-13,0.781
1.43808e-13,0.782
1.44004e-13,0.783
1.442e-13,0.784
1.44397e-13,0.785
1.44596e-13,0.786
1.44793e-13,0.787
1.44993e-13,0.788
1.45193e-13,0.789
1.45393e-13,0.79
1.45593e-13,0.791
1.45792e-13,0.792
1.45991e-13,0.793
1.46191e-13,0.794
1.46393e-13,0.795
1.46595e-13,0.796
1.46797e-13,0.797
1.46996e-13,0.798
1.47196e-13,0.799
1.47397e-13,0.8
1.47598e-13,0.801
1.47798e-13,0.802
1.47999e-13,0.803
1.48199e-13,0.804
1.48399e-13,0.805
1.48598e-13,0.806
1.488e-13,0.807
1.49e-13,0.808
1.49202e-13,0.809
1.49402e-13,0.81
1.49602e-13,0.811
1.49801e-13,0.812
1.5e-13,0.813
1.50199e-13,0.814
1.50396e-13,0.815
1.50592e-13,0.816
1.50787e-13,0.817
